uid,qid,wid,hesitate,understand,dd_count,dd_time_sum,dd_time_max,dd_time_min,dd_time_avg,dd_time_ratio_sum,dd_time_ratio_max,dd_time_ratio_min,dd_time_ratio_avg,dd_dist_sum,dd_dist_max,dd_dist_min,dd_dist_avg,dd_dist_ratio_sum,dd_dist_ratio_max,dd_dist_ratio_min,dd_dist_ratio_avg,dd_speed_sum,dd_speed_max,dd_speed_min,dd_speed_avg,dd_speed_ratio_sum,dd_speed_ratio_max,dd_speed_ratio_min,dd_speed_ratio_avg,dd_stop_sum,dd_stop_max,dd_stop_min,dd_stop_avg,dd_stop_ratio_sum,dd_stop_ratio_max,dd_stop_ratio_min,dd_stop_ratio_avg,dd_uturnx_sum,dd_uturnx_max,dd_uturnx_min,dd_uturnx_avg,dd_uturnx_ratio_sum,dd_uturnx_ratio_max,dd_uturnx_ratio_min,dd_uturnx_ratio_avg,dd_uturny_sum,dd_uturny_max,dd_uturny_min,dd_uturny_avg,dd_uturny_ratio_sum,dd_uturny_ratio_max,dd_uturny_ratio_min,dd_uturny_ratio_avg,dd_q_count1,dd_q_count2,int_count,int_time_sum,int_time_max,int_time_min,int_time_avg,int_time_ratio_sum,int_time_ratio_max,int_time_ratio_min,int_time_ratio_avg,int_dist_sum,int_dist_max,int_dist_min,int_dist_avg,int_dist_ratio_sum,int_dist_ratio_max,int_dist_ratio_min,int_dist_ratio_avg,int_speed_sum,int_speed_max,int_speed_min,int_speed_avg,int_speed_ratio_sum,int_speed_ratio_max,int_speed_ratio_min,int_speed_ratio_avg,int_stop_sum,int_stop_max,int_stop_min,int_stop_avg,int_stop_ratio_sum,int_stop_ratio_max,int_stop_ratio_min,int_stop_ratio_avg,int_uturnx_sum,int_uturnx_max,int_uturnx_min,int_uturnx_avg,int_uturnx_ratio_sum,int_uturnx_ratio_max,int_uturnx_ratio_min,int_uturnx_ratio_avg,int_uturny_sum,int_uturny_max,int_uturny_min,int_uturny_avg,int_uturny_ratio_sum,int_uturny_ratio_max,int_uturny_ratio_min,int_uturny_ratio_avg,int_q_count1,int_q_count2
25110001,4,"3,",FALSE,3,1,340,340,340,340,0.011576439,0.011576439,0.011576439,0.011576439,118.0208288,118.0208288,118.0208288,118.0208288,0.025551524,0.025551524,0.025551524,0.025551524,0.347120085,0.347120085,0.347120085,0.347120085,0.085477258,0.085477258,0.085477258,0.085477258,57,57,57,57,0.1484375,0.1484375,0.1484375,0.1484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2897,2897,2897,2897,0.098638066,0.098638066,0.098638066,0.098638066,891.187759,891.187759,891.187759,891.187759,0.192942262,0.192942262,0.192942262,0.192942262,0.307624356,0.307624356,0.307624356,0.307624356,0.075751555,0.075751555,0.075751555,0.075751555,0,0,0,0,0,0,0,0,6,6,6,6,0.272727273,0.272727273,0.272727273,0.272727273,7,7,7,7,0.318181818,0.318181818,0.318181818,0.318181818,0,0
25110001,4,"2,",FALSE,3,1,189,189,189,189,0.006435138,0.006435138,0.006435138,0.006435138,68.59300256,68.59300256,68.59300256,68.59300256,0.014850394,0.014850394,0.014850394,0.014850394,0.362925939,0.362925939,0.362925939,0.362925939,0.089369401,0.089369401,0.089369401,0.089369401,82,82,82,82,0.213541667,0.213541667,0.213541667,0.213541667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,786,786,786,786,0.026762002,0.026762002,0.026762002,0.026762002,121.0913982,121.0913982,121.0913982,121.0913982,0.026216303,0.026216303,0.026216303,0.026216303,0.154060303,0.154060303,0.154060303,0.154060303,0.037936878,0.037936878,0.037936878,0.037936878,0,0,0,0,0,0,0,0,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,1,1
25110001,4,"0,",FALSE,3,1,406,406,406,406,0.01382363,0.01382363,0.01382363,0.01382363,98.32711283,98.32711283,98.32711283,98.32711283,0.021287832,0.021287832,0.021287832,0.021287832,0.242185007,0.242185007,0.242185007,0.242185007,0.059637316,0.059637316,0.059637316,0.059637316,73,73,73,73,0.190104167,0.190104167,0.190104167,0.190104167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1443,1443,1443,1443,0.049131767,0.049131767,0.049131767,0.049131767,534.1104998,534.1104998,534.1104998,534.1104998,0.11563499,0.11563499,0.11563499,0.11563499,0.370138946,0.370138946,0.370138946,0.370138946,0.091145582,0.091145582,0.091145582,0.091145582,0,0,0,0,0,0,0,0,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,2,2
25110001,4,"5,",FALSE,3,1,230,230,230,230,0.00783112,0.00783112,0.00783112,0.00783112,106.3174332,106.3174332,106.3174332,106.3174332,0.023017738,0.023017738,0.023017738,0.023017738,0.46224971,0.46224971,0.46224971,0.46224971,0.113827575,0.113827575,0.113827575,0.113827575,56,56,56,56,0.145833333,0.145833333,0.145833333,0.145833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,665,665,665,665,0.022642152,0.022642152,0.022642152,0.022642152,251.2462591,251.2462591,251.2462591,251.2462591,0.054394847,0.054394847,0.054394847,0.054394847,0.377813923,0.377813923,0.377813923,0.377813923,0.093035522,0.093035522,0.093035522,0.093035522,0,0,0,0,0,0,0,0,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,3,3
25110001,4,"4,",FALSE,3,1,237,237,237,237,0.008069459,0.008069459,0.008069459,0.008069459,94.38430936,94.38430936,94.38430936,94.38430936,0.020434215,0.020434215,0.020434215,0.020434215,0.398246031,0.398246031,0.398246031,0.398246031,0.098066865,0.098066865,0.098066865,0.098066865,46,46,46,46,0.119791667,0.119791667,0.119791667,0.119791667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,500,500,500,500,0.017024174,0.017024174,0.017024174,0.017024174,140.0469982,140.0469982,140.0469982,140.0469982,0.030320193,0.030320193,0.030320193,0.030320193,0.280093996,0.280093996,0.280093996,0.280093996,0.068972289,0.068972289,0.068972289,0.068972289,0,0,0,0,0,0,0,0,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,4,4
25110001,4,"6,",FALSE,3,1,221,221,221,221,0.007524685,0.007524685,0.007524685,0.007524685,86.59807737,86.59807737,86.59807737,86.59807737,0.018748495,0.018748495,0.018748495,0.018748495,0.391846504,0.391846504,0.391846504,0.391846504,0.096491001,0.096491001,0.096491001,0.096491001,26,26,26,26,0.067708333,0.067708333,0.067708333,0.067708333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1357,1357,1357,1357,0.046203609,0.046203609,0.046203609,0.046203609,156.8051818,156.8051818,156.8051818,156.8051818,0.033948342,0.033948342,0.033948342,0.033948342,0.115552824,0.115552824,0.115552824,0.115552824,0.028454529,0.028454529,0.028454529,0.028454529,0,0,0,0,0,0,0,0,3,3,3,3,0.136363636,0.136363636,0.136363636,0.136363636,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,5,5
25110001,4,"1,",FALSE,3,1,4783,4783,4783,4783,0.162853252,0.162853252,0.162853252,0.162853252,318.8350501,318.8350501,318.8350501,318.8350501,0.069027828,0.069027828,0.069027828,0.069027828,0.066660056,0.066660056,0.066660056,0.066660056,0.016414835,0.016414835,0.016414835,0.016414835,44,44,44,44,0.114583333,0.114583333,0.114583333,0.114583333,2,2,2,2,0.090909091,0.090909091,0.090909091,0.090909091,2,2,2,2,0.090909091,0.090909091,0.090909091,0.090909091,7,7,1,3882,3882,3882,3882,0.132175689,0.132175689,0.132175689,0.132175689,244.4706976,244.4706976,244.4706976,244.4706976,0.052927937,0.052927937,0.052927937,0.052927937,0.06297545,0.06297545,0.06297545,0.06297545,0.015507512,0.015507512,0.015507512,0.015507512,0,0,0,0,0,0,0,0,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,1,1,1,1,0.045454545,0.045454545,0.045454545,0.045454545,6,6
25110001,13,"0,",FALSE,3,1,380,380,380,380,0.007257726,0.007257726,0.007257726,0.007257726,55,55,55,55,0.006925693,0.006925693,0.006925693,0.006925693,0.144736842,0.144736842,0.144736842,0.144736842,0.021988126,0.021988126,0.021988126,0.021988126,62,62,62,62,0.088571429,0.088571429,0.088571429,0.088571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3756,3756,3756,3756,0.071736888,0.071736888,0.071736888,0.071736888,1459.974121,1459.974121,1459.974121,1459.974121,0.18384242,0.18384242,0.18384242,0.18384242,0.388704505,0.388704505,0.388704505,0.388704505,0.059051195,0.059051195,0.059051195,0.059051195,0,0,0,0,0,0,0,0,2,2,2,2,0.086956522,0.086956522,0.086956522,0.086956522,4,4,4,4,0.114285714,0.114285714,0.114285714,0.114285714,0,0
25110001,13,"9,",FALSE,3,1,566,566,566,566,0.010810191,0.010810191,0.010810191,0.010810191,338.0828641,338.0828641,338.0828641,338.0828641,0.042571968,0.042571968,0.042571968,0.042571968,0.597319548,0.597319548,0.597319548,0.597319548,0.090743566,0.090743566,0.090743566,0.090743566,70,70,70,70,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,18428,18428,18428,18428,0.351961496,0.351961496,0.351961496,0.351961496,1016.514529,1016.514529,1016.514529,1016.514529,0.128001235,0.128001235,0.128001235,0.128001235,0.055161414,0.055161414,0.055161414,0.055161414,0.008380009,0.008380009,0.008380009,0.008380009,0,0,0,0,0,0,0,0,4,4,4,4,0.173913043,0.173913043,0.173913043,0.173913043,7,7,7,7,0.2,0.2,0.2,0.2,1,1
25110001,13,"5,",FALSE,3,1,333,333,333,333,0.00636006,0.00636006,0.00636006,0.00636006,111.0793628,111.0793628,111.0793628,111.0793628,0.013987302,0.013987302,0.013987302,0.013987302,0.33357166,0.33357166,0.33357166,0.33357166,0.050675526,0.050675526,0.050675526,0.050675526,53,53,53,53,0.075714286,0.075714286,0.075714286,0.075714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,4059,4059,4059,4059,0.07752397,0.07752397,0.07752397,0.07752397,175.7087002,175.7087002,175.7087002,175.7087002,0.022125538,0.022125538,0.022125538,0.022125538,0.043288667,0.043288667,0.043288667,0.043288667,0.006576326,0.006576326,0.006576326,0.006576326,0,0,0,0,0,0,0,0,1,1,1,1,0.043478261,0.043478261,0.043478261,0.043478261,1,1,1,1,0.028571429,0.028571429,0.028571429,0.028571429,2,2
